fecha,equipo,comercio,imagen,tipo_comercio,reja,año_apertura,cantidad_trabajadores,trabajadores_salario_fijo,exp_trabajadores_3mes,venta_vs_mesantes,razon_ventas,exp_ventas_3mes,inventario_vs_mesantes,exp_inventario_3mes,nivel_inventario,precios,exp_precios_3mes,afect_crimen,afect_credito,afect_precios,afect_compe,credits_bancos,credits_proveedor,credits_familia,credits_gobierno,credits_privado,credits_otro,razon_no_credito,quiere_crezca,porque_no_crezca,min_salario,tecnologia,tecnologia_habitual,hs_apertura,hs_cierre,consumo_kw,sexo_encuestado,telefono,local,estudios,edad,lat,long
2025-10-02 13:38:55,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_9nwPTnwDn94HJIJ,ALMACÉN,0,1980.0,1.0,0.0,Igual,Peor,Grandes empresarios aumentan los costos,Menores,Disminuyó,Disminuya,Muy poco,Aumentó,Aumenten,Mucho,Nada,Mucho,Mucho,0.0,1.0,0.0,0.0,0.0,0,Las tasas de interés son muy altas,1.0,,0,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,8:30 pm,,1,77124645.0,Propio,Primaria,Más de 60,,-58.222781
2025-10-04 06:57:48,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_2f2KSVskHHgtWKU,OTROS,0,2024.0,1.0,0.0,Aumente,Igual,Proximos meses: estacionalidad de las fiestas,Mayores,Permaneció igual,Igual,En su nivel correcto,Permaneció igual,Aumenten,Poco,Nada,Mucho,Nada,0.0,0.0,0.0,0.0,0.0,,Las tasas de interés son muy altas,0.0,Porque está satisfecho con su negocio,no estaria dispuesta a dejarlo,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).",Punto de venta digital (POS) o sistema de inventario.,8:30 am,8:30 pm,1012.0,1,50081170.0,Propio,Universidad y más,De 51 a 60,-34.57749034400566,-58.43047598092801
2025-10-04 07:50:56,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_1ghK1wQFZ6ZsqUC,DIETÉTICAS,0,1980.0,2.0,0.0,Igual,Igual,,Mayores,Permaneció igual,Igual,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Moderado,Nada,0.0,0.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,13000000,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,Punto de venta digital (POS) o sistema de inventario.,9:30 am,7:30 pm,,0,32652189.0,Rentado,Universidad y más,Más de 60,-34.5770339,-58.4308475
2025-10-04 08:08:52,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_3m9phLcp1IQvYPr,CONFITERÍA O PANADERÍA,0,1989.0,4.0,4.0,Igual,Peor,Caída de ingesos de la poblacion,Menores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Mucho,Mucho,0.0,0.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,Por un aumento sustantivo de salario,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,Punto de venta digital (POS) o sistema de inventario.,9:00 am,8:00 pm,,1,26320744.0,Propio,Secundaria,De 51 a 60,-34.5770452,-58.4306886
2025-10-04 08:28:57,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_1mOuwm7bha254Vr,ALMACÉN,0,2022.0,5.0,5.0,Aumente,Igual,No contesta,Iguales,Permaneció igual,Igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Poco,Nada,Algo,Poco,0.0,0.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,No aceptaria,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:30 am,9:00 pm,,0,26651956.0,Rentado,Secundaria,De 31 a 40,-34.5779241,-58.4293843
2025-10-04 08:45:54,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_1DApLxwzTmW09DL,CONFITERÍA O PANADERÍA,0,2000.0,10.0,10.0,Igual,Igual,Clima,Menores,Permaneció igual,Igual,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Moderado,Nada,0.0,1.0,0.0,0.0,0.0,,No necesito un crédito,0.0,Porque está satisfecho con su negocio,No está dispuesto a cerrar,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,9:00 pm,,0,57302932.0,Propio,Secundaria,Más de 60,-34.5777679,-58.4288378
2025-10-04 09:10:34,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_3KNNHKYaLoDu8Ie,KIOSKO,0,2024.0,1.0,0.0,Aumente,Mejor,Porque aumentaron los precios,Mayores,Aumentó,Incremente,Muy poco,Aumentó,Permanezcan igual,Poco,Poco,Algo,Mucho,0.0,1.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,0,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,9:00 pm,142.0,0,34958521.0,Propio,Universidad y más,De 31 a 40,-34.6106358,-58.3971522
2025-10-04 09:39:39,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_1NleWoOSJ21mBrk,KIOSKO,0,2018.0,2.0,0.0,Igual,Mejor,,Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Poco,Poco,Algo,Poco,0.0,0.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,0,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).",Punto de venta digital (POS) o sistema de inventario.,10:00 am,8:00 pm,,0,,Propio,Universidad y más,Más de 60,-34.6127586,-58.3961739
2025-10-04 10:11:40,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_3QLzoUoYLRisP1E,KIOSKO,0,2021.0,3.0,3.0,Igual,Mejor,El calor hace que aumente las ventas de bebidas ,Mayores,Disminuyó,Incremente,Muy poco,Permaneció igual,Aumenten,Poco,Algo,Moderado,Nada,1.0,1.0,0.0,0.0,0.0,,,1.0,,0,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",10:00 am,10:00 pm,,0,55039634.0,Rentado,Universidad y más,De 31 a 40,-34.608223,-58.39672
2025-10-04 10:34:18,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_WeSvEkg6esOOZ4l,CARNICERÍA,0,2024.0,2.0,2.0,Aumente,Igual,,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Poco,Mucho,0.0,0.0,0.0,0.0,0.0,,Las tasas de interés son muy altas,1.0,,0,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:00 pm,,0,59748447.0,Rentado,Secundaria,De 21 a 30,-34.610574,-58.397398
2025-10-04 13:57:51,,,https://mit.co1.qualtrics.com/Q/File.php?F=F_BOZ9L5esjW7oGfn,ALMACÉN,0,2024.0,2.0,2.0,Igual,Igual,"Cerca del verano, se mantiene en un plano ",Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Moderado,Nada,Mucho,Algo,0.0,0.0,0.0,0.0,0.0,,No necesito un crédito,1.0,,0,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",11:00 am,11:00 pm,,1,,Rentado,Universidad y más,De 41 a 50,-34.610246,-58.397599
